country,production,produccion
China,2002,3251
China,2003,4444
China,2004,5071
China,2005,5668
China,2006,7566
China,2007,8885
China,2008,9233
China,2009,13649
China,2010,18265
China,2011,18419
China,2012,19272
China,2013,22117
China,2014,23723
China,2015,24503
China,2016,28119
China,2017,29016
China,2018,27809
China,2019,25721
China,2020,25225
China,2021,26082
Czech Republicb,1961,76
Czech Republicb,1971,177
Czech Republicb,1981,230
Czech Republicb,1991,202
Czech Republicb,1994,180
Czech Republicb,1995,216
Czech Republicb,1996,272
Czech Republicb,1997,369
Czech Republicb,1998,411
Czech Republicb,1999,376
Czech Republicb,2000,455
Czech Republicb,2001,465
Czech Republicb,2002,447
Czech Republicb,2003,442
Czech Republicb,2004,448
Czech Republicb,2005,605
Czech Republicb,2006,855
Czech Republicb,2007,939
Czech Republicb,2008,946
Czech Republicb,2009,975
Czech Republicb,2010,1076
Czech Republicb,2011,1200
Czech Republicb,2012,1179
Czech Republicb,2013,1133
Czech Republicb,2014,1251
Czech Republicb,2015,1304
Czech Republicb,2016,1350
Czech Republicb,2017,1420
Czech Republicb,2018,1443
Czech Republicb,2019,1434
Czech Republicb,2020,1159
Czech Republicb,2021,1111
Finland,2014,46
Finland,2015,80
Finland,2016,48
Finland,2017,92
Finland,2018,112
Finland,2019,115
Finland,2020,86
Finland,2021,93
France,1961,1205
France,1971,3010
France,1981,3020
France,1991,3611
France,1994,3558
France,1995,3475
France,1996,3591
France,1997,2581
France,1998,2954
France,1999,3033
France,2000,3352
France,2001,3628
France,2002,3693
France,2003,3620
France,2004,3352
France,2005,3549
France,2006,3174
France,2007,3016
France,2008,2568
France,2009,2043
France,2010,2219
France,2011,2278
France,2012,2011
France,2013,1781
France,2014,1851
France,2015,2015
France,2016,2133
France,2017,2279
France,2018,2329
France,2019,2219
France,2020,1371
France,2021,1396
Germany,1961,2213
Germany,1971,4141
Germany,1981,4116
Germany,1991,5035
Germany,1994,4356
Germany,1995,4667
Germany,1996,4843
Germany,1997,5023
Germany,1998,5727
Germany,1999,5688
Germany,2000,5198
Germany,2001,5692
Germany,2002,5145
